a. End User Information,,,,,,,b. Persona Information,,,,,,,,,,,,,,,,,,
1. First Name,2. Last Name,3. Age,4. Residence Address,5. Country of ID,6. Device Information,7. IP Address,8. Fraud Status (Ground Truth),9. Verification ID,10. Verification Status,11. Verification Created Date,12. Color Inconsistency Detection,13. Barcode Detection,14. Extraction Inconsistency Detection,15. Inquiry Comparison,16. Disallowed Type Detection,17. Compromised Detection,18. MRZ Detection,19. Expired Detection,20. Disallowed Country Detection,21. Entity Detection,22. Portrait Detection,23. Account Comparison,24. Selfie Comparison,25. Extracted Properties Detection,26. Tamper Detection
Amber,Taylor,45,"0970 Owens Motorway
Port Michelle, NE 16576",United States,Opera/8.39.(X11; Linux x86_64; ti-ER) Presto/2.9.190 Version/10.00,45.46.254.138,TRUE,1784843,failed,2/28/2021 4:13:00,passed,failed,not_applicable,not_applicable,failed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Henry,Hernandez,75,"5648 Garcia Plains Apt. 828
South Jameshaven, MA 43414",United States,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,30.122.96.190,FALSE,4568401,passed,1/4/2021 3:36:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Michael,Baker,63,"78229 Sutton Roads Suite 215
Alvaradoberg, MN 39934",United States,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,183.95.244.249,FALSE,2951766,failed,4/30/2021 21:59:00,passed,passed,passed,not_applicable,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jimmy,Taylor,57,"4801 Blair Fields Apt. 931
West Kenneth, HI 55550",United States,Android 2.0.1,104.250.131.1,FALSE,5818850,passed,4/30/2021 20:12:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Brandon,Carpenter,26,"USNV Carter
FPO AP 95615",United States,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,107.250.84.165,FALSE,2141839,passed,3/8/2021 19:37:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Janice,Glover,41,"Unit 5785 Box 0973
DPO AP 79451",United States,Android 2.0,50.191.15.238,TRUE,4608746,failed,1/22/2021 21:05:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Matthew,Mclaughlin,42,"36200 Haynes Trail
Karinashire, MA 99729",Lebanon,Opera/9.23.(X11; Linux i686; et-EE) Presto/2.9.169 Version/10.00,10.248.37.84,Image Quality,8821650,passed,2/2/2021 0:06:00,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Cassandra,Nguyen,32,"PSC 5008, Box 7546
APO AE 01545",United States,Opera/9.28.(X11; Linux x86_64; se-NO) Presto/2.9.179 Version/10.00,49.137.181.166,Image Quality,4721169,passed,4/20/2021 0:35:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Samantha,Sanchez,83,"774 Lawrence Meadows
New Kathleenburgh, VT 45806",United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.1),94.146.116.182,FALSE,4604879,passed,3/29/2021 21:17:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Daniel,Rogers,64,"626 Anne Inlet Apt. 252
Diazside, AR 69417",United States,Android 11,23.212.125.36,FALSE,4780911,passed,4/18/2021 11:35:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Bianca,Johnson,74,"47016 Werner Burgs Apt. 498
Christieside, GA 68691",United States,iPhone; CPU iPhone OS 14_2 like Mac OS X,15.49.201.8,Image Quality,2611101,failed,2/27/2021 1:38:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Robert,Gates,18,"USS Sanchez
FPO AE 35509",Oman,Android 4.4,130.44.162.149,FALSE,6918216,failed,5/5/2021 19:59:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Larry,Walsh,55,"973 Stephanie Alley Suite 122
Madelineburgh, ND 45163",United States,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.0),32.189.99.216,Image Quality,4200873,passed,1/1/2021 19:57:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Deborah,Garcia,53,"60666 Michael Plains
Daviesstad, MO 54334",Ireland,Android 4.1,193.224.189.224,FALSE,1035940,failed,3/20/2021 16:14:00,passed,passed,passed,failed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Leah,Moore,72,"9141 Gardner Turnpike
East Heather, MO 02772",United States,Opera/8.88.(Windows 98; lt-LT) Presto/2.9.179 Version/10.00,1.3.244.214,FALSE,4569785,failed,5/8/2021 23:40:00,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,failed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Michael,Mcintosh,59,"27561 Mcguire Roads Apt. 029
Danielleshire, AL 51467",United States,Android 2.1,212.201.135.88,FALSE,5929153,passed,4/1/2021 18:44:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Edward,Herman,28,"98568 Clark Summit Suite 592
Goldenfurt, OK 55614",United States,iPad; CPU iPad OS 9_3_5 like Mac OS X,162.173.129.183,Image Quality,3833669,failed,5/3/2021 15:00:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,failed,passed,passed,passed,passed,not_applicable,passed,passed
Dean,Cunningham,38,"14399 Price Ridges
South James, ME 35771",United States,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,88.142.61.49,Image Quality,4101306,failed,5/2/2021 3:03:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Dr.,Jason,74,"85333 Melissa Loop
East Jacob, AL 97759",United States,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0),162.67.210.132,FALSE,1240751,failed,3/4/2021 13:47:00,passed,passed,passed,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Edward,Tran,85,"1950 Kim Heights Apt. 113
West Angela, RI 54775",United States,Android 5.1.1,223.56.244.251,TRUE,5636661,failed,5/5/2021 4:49:00,not_applicable,failed,not_applicable,failed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Christina,Johnson,16,"34421 Melissa Station Suite 569
North Jamiestad, MI 94320",United States,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,171.6.171.225,TRUE,2043170,failed,2/17/2021 15:05:00,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Lance,Burgess,85,"830 Gomez Pines
New Jamesville, MS 29764",United States,Android 2.1,162.160.250.185,FALSE,5026146,passed,1/14/2021 22:35:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Lindsey,Fowler,24,"56709 Fisher Mountains Suite 795
West Nancyside, WA 34837",Belgium,Android 7.1.1,3.12.147.120,FALSE,3014040,passed,5/1/2021 19:05:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Haley,Orozco,19,"34842 Simmons Dam
Johntown, NM 02333",United States,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,21.49.149.134,FALSE,4129864,passed,5/4/2021 3:21:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Joshua,Morgan,30,"738 Nichols Walk
Shirleyborough, NE 87336",United States,Android 2.2.1,9.175.17.177,FALSE,5896205,failed,1/14/2021 0:39:00,passed,passed,passed,failed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Denise,Perry,85,"9234 Jacob Rapid Suite 637
Lake Aaronside, HI 37922",United States,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.26.5 (KHTML, like Gecko) Version/4.0.2 Safari/534.26.5",148.209.132.59,FALSE,4845619,failed,3/31/2021 3:15:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Margaret,Barker,74,"89500 Dana Park Suite 759
South Billyfort, NC 77254",United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.0),145.179.131.91,Image Quality,3129043,failed,5/10/2021 15:33:00,passed,passed,passed,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Timothy,Meyer,61,"49244 Sutton Place Apt. 832
Port Phillipbury, AR 53960",United States,Android 2.3.3,190.82.138.169,Image Quality,2515611,failed,3/22/2021 0:35:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Becky,Ortiz,35,"USNS Clarke
FPO AP 94863",United States,Android 2.2,98.35.174.60,FALSE,8559192,failed,4/27/2021 13:40:00,not_applicable,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Linda,Davis,40,"768 Hall Pass
Davenportbury, NE 61527",United States,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,125.195.63.65,FALSE,1244496,passed,1/26/2021 15:02:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Brian,Morales,75,"011 Deborah Circle Apt. 618
Donaldfurt, GA 47104",Kuwait,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.1),198.148.54.214,FALSE,3663980,passed,3/22/2021 18:12:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Emily,Gilbert,22,"906 Taylor Springs
Port Angelaport, NE 99915",United States,Opera/9.77.(X11; Linux i686; csb-PL) Presto/2.9.180 Version/10.00,125.108.249.123,Image Quality,6347780,passed,3/8/2021 22:17:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Larry,James,84,"0175 Eric Islands
East Ronald, TX 74957",United States,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,207.72.94.52,FALSE,5891725,failed,2/16/2021 5:42:00,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jessica,Thompson,57,"PSC 2423, Box 0406
APO AA 99804",United States,Android 4.0.2,19.252.135.108,FALSE,5951704,passed,4/17/2021 0:22:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Kathleen,Williams,47,"2619 Derek Walks Apt. 157
Williammouth, MD 41988",United States,Android 7.1,19.47.60.225,TRUE,3464848,failed,5/16/2021 7:48:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jesse,Horn,37,"8311 Wallace Green
North Kevinstad, CT 75956",United States,Opera/8.20.(X11; Linux x86_64; km-KH) Presto/2.9.162 Version/10.00,33.7.192.85,FALSE,3800823,passed,3/3/2021 19:26:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kaylee,Brennan,46,"779 Shannon Locks Apt. 446
West Sarah, WY 81606",United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.0),44.218.183.175,FALSE,4439242,passed,12/30/2020 19:16:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Savannah,Hughes,69,"66312 William Run Apt. 302
Lake Wandashire, MO 51175",United States,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1),2.91.160.53,FALSE,4699031,passed,4/2/2021 15:38:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Mark,Long,83,"319 Jennifer Oval Apt. 600
Lake Natasha, VA 56009",United States,Opera/8.90.(X11; Linux i686; mk-MK) Presto/2.9.187 Version/11.00,171.52.91.40,FALSE,7630331,passed,5/14/2021 23:14:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jessica,Rodriguez,48,"73133 Cox Wall Suite 137
South Josephton, WI 82330",United States,Opera/9.17.(X11; Linux x86_64; ps-AF) Presto/2.9.174 Version/10.00,63.125.151.217,FALSE,6440330,failed,4/28/2021 16:34:00,passed,passed,passed,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Cynthia,Thornton,61,"7854 Kelly Trace Suite 629
Port Bradley, CT 00771",United States,Android 7.1,67.85.116.42,Image Quality,2492011,passed,1/2/2021 1:19:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Reginald,Pollard,16,"90174 Myers Court Suite 396
Marissaborough, VT 02701",United States,Opera/9.29.(X11; Linux x86_64; os-RU) Presto/2.9.184 Version/11.00,168.141.53.31,FALSE,2928857,passed,5/10/2021 16:17:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Ryan,Marshall,23,"3301 Clayton Views Apt. 466
North Lauraside, AK 64183",United States,iPhone; CPU iPhone OS 5_1_1 like Mac OS X,23.76.87.76,FALSE,6083166,passed,3/28/2021 20:55:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Melanie,Herman,45,"22517 Garcia Crest Apt. 538
Richardport, AZ 83027",United States,iPad; CPU iPad OS 9_3_5 like Mac OS X,172.146.120.81,Image Quality,1419965,failed,3/30/2021 21:17:00,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
William,Austin,67,"778 Daugherty Circle
Stewartville, NE 59353",United States,"Mozilla/5.0 (Windows 95) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/37.0.896.0 Safari/534.0",173.146.67.170,Image Quality,2416741,passed,4/17/2021 20:40:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Ashley,Robinson,65,"31205 Frederick Mission
New Michelleberg, WA 72044",United States,Android 2.3.6,128.249.106.11,Image Quality,5037244,failed,2/15/2021 4:20:00,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Melissa,Pope,26,"41203 Felicia Shoals
East Michael, IN 00605",United States,Android 3.2.6,139.150.237.117,FALSE,7922558,failed,4/21/2021 4:59:00,passed,passed,passed,failed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Cynthia,Anderson,50,"737 Robles Forge Suite 477
Peterstad, CA 19191",Isle of Man,"Mozilla/5.0 (iPhone; CPU iPhone OS 4_2_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) CriOS/23.0.867.0 Mobile/97M318 Safari/534.1",159.196.220.110,FALSE,8160680,failed,5/10/2021 21:11:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,failed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Zachary,Miller,55,"15172 Karla Stream Apt. 886
Lake Danielchester, NV 51439",Anguilla,Android 8.0.0,46.234.171.0,FALSE,4256179,passed,5/12/2021 21:51:00,passed,not_applicable,not_applicable,not_applicable,passed,passed,passed,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Peter,Butler,48,"143 Mary Plaza Suite 424
Port Tracyshire, CT 88663",United States,Android 7.1.1,81.218.194.85,Image Quality,8790353,passed,5/11/2021 0:01:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Larry,Garcia,31,"4783 Mejia Loaf
Waltonstad, CT 44035",United States,Android 4.2,15.210.199.246,Image Quality,8666275,failed,12/30/2020 2:19:00,passed,failed,not_applicable,not_applicable,failed,passed,not_applicable,not_applicable,passed,failed,passed,not_applicable,not_applicable,passed,passed
Michael,Crawford,20,"3894 Harris Lights Apt. 755
Mcneilmouth, OK 35327",United States,Android 8.1.0,99.42.35.32,FALSE,6044668,passed,1/28/2021 17:25:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Jordan,Scott,80,"8575 Christopher Walk Suite 991
Khanborough, NV 07369",United States,Android 6.0,202.80.96.184,FALSE,5631108,failed,5/9/2021 2:11:00,not_applicable,failed,not_applicable,not_applicable,failed,passed,not_applicable,not_applicable,passed,failed,failed,not_applicable,not_applicable,passed,passed
Katrina,Carson,48,"4480 Matthew Mall Suite 832
West Michael, MI 10474",United States,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,161.153.170.74,FALSE,3653671,passed,1/25/2021 16:30:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Erik,Payne,,"82488 Santiago Mountains Apt. 199
Port Vanessa, MT 63709",United States,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 10.0; Trident/4.0),32.148.34.139,FALSE,1155142,passed,4/16/2021 14:21:00,passed,not_applicable,not_applicable,passed,passed,passed,passed,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kathleen,Reid,72,"75804 Weber Track Apt. 848
West Matthewbury, SD 97581",United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 6.2; Trident/5.1),136.234.55.133,FALSE,6383112,failed,5/4/2021 19:53:00,passed,passed,failed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Samuel,Norris,18,"0742 Navarro Island
Ronaldview, TN 35823",United States,iPad; CPU iPad OS 4_2_1 like Mac OS X,1.167.101.253,Image Quality,3268236,failed,1/27/2021 23:47:00,passed,passed,passed,passed,passed,passed,not_applicable,failed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Shawn,Johnson,45,"3557 Marks Mountain Apt. 610
Lake Saraland, CA 57098",United States,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,163.103.72.115,FALSE,6125134,passed,5/7/2021 1:58:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kevin,Clark,73,"PSC 1565, Box 5570
APO AA 44132",United States,iPad; CPU iPad OS 9_3_5 like Mac OS X,66.137.103.151,Image Quality,1806693,passed,4/14/2021 19:03:00,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Amy,Mcguire,42,"771 Meyers Plains Apt. 634
West Jasonstad, KS 83500",United States,iPad; CPU iPad OS 5_1_1 like Mac OS X,3.253.188.195,FALSE,5893295,passed,3/18/2021 9:40:00,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Anna,Henderson,20,"Unit 6706 Box 7667
DPO AA 47361",United States,Android 5.0.2,209.220.74.212,FALSE,1016535,failed,4/8/2021 21:06:00,not_applicable,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,failed,failed,not_applicable,not_applicable,passed,passed
