1. First Name,2. Last Name,3. Age,4. Residence Address,state,zip_code,city,5. Country of ID,6. Device Information,browser,device,device_os,7. IP Address,8. Fraud Status (Ground Truth),9. Verification ID,10. Verification Status,11. Verification Created Date,date,hour,weekday,DayOfMonth,MonthName,Year,day_pary,12. Color Inconsistency Detection,13. Barcode Detection,14. Extraction Inconsistency Detection,15. Inquiry Comparison,16. Disallowed Type Detection,17. Compromised Detection,18. MRZ Detection,19. Expired Detection,20. Disallowed Country Detection,21. Entity Detection,22. Portrait Detection,23. Account Comparison,24. Selfie Comparison,25. Extracted Properties Detection,26. Tamper Detection
Marcus,Baker,64,"71643 Mary Parkways Apt. 302
New Heatherfurt, ND 36763",ND,36763,New Heatherfurt,United States,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_2 like Mac OS X; as-IN) AppleWebKit/533.48.7 (KHTML, like Gecko) Version/4.0.5 Mobile/8B117 Safari/6533.48.7",Safari,mobile,Mac,157.248.22.249,Image Quality,8938782,failed,2021-05-03 12:27:00,2021-05-03,12,Mon,3,May,2021,early afternoon,passed,passed,passed,not_applicable,failed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Tara,Pope,20,"30184 Boyle Mills
Morrisonberg, PA 02366",PA,02366,Morrisonberg,United States,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10 7_0) AppleWebKit/533.0 (KHTML, like Gecko) Chrome/57.0.860.0 Safari/533.0",Chrome,desktop,Mac,113.114.218.135,FALSE,8145374,failed,2021-03-20 07:30:00,2021-03-20,7,Sat,20,Mar,2021,early morning,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Thomas,Garcia,20,"690 Meghan Vista
Lake Kimberlymouth, NJ 72960",NJ,72960,Lake Kimberlymouth,United States,iPhone; CPU iPhone OS 4_2_1 like Mac OS X,Other,mobile,Mac,175.166.62.82,Image Quality,2206580,passed,2021-05-12 14:25:00,2021-05-12,14,Wed,12,May,2021,afternoon,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Danielle,Hart,21,"3884 Davis Center Apt. 056
Port Juliemouth, OH 76512",OH,76512,Port Juliemouth,United States,iPad; CPU iPad OS 4_2_1 like Mac OS X,Other,mobile,Mac,53.39.1.21,FALSE,8861743,passed,2021-03-11 00:35:00,2021-03-11,0,Thu,11,Mar,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Terry,Gibson,37,"76612 Jones Villages
North Sarahchester, NY 97581",NY,97581,North Sarahchester,United States,Android 7.1,Other,mobile,Android,58.162.191.64,FALSE,4234781,passed,2021-04-25 05:26:00,2021-04-25,5,Sun,25,Apr,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
James,Valenzuela,58,"593 Kevin Haven Apt. 636
East Jaimeport, ME 25570",ME,25570,East Jaimeport,United States,iPhone; CPU iPhone OS 14_2_1 like Mac OS X,Other,mobile,Mac,38.155.39.198,FALSE,6646598,passed,2021-05-09 05:55:00,2021-05-09,5,Sun,9,May,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kevin,Moore,57,"85022 Heather Summit Suite 419
New Adamville, DE 04345",DE,04345,New Adamville,United States,Android 4.0.3,Other,mobile,Android,66.28.218.74,FALSE,6178699,failed,2021-05-22 09:05:00,2021-05-22,9,Sat,22,May,2021,early morning,not_applicable,failed,not_applicable,not_applicable,failed,passed,not_applicable,not_applicable,passed,failed,passed,not_applicable,not_applicable,passed,passed
Jane,Hendricks,53,"5878 Johnson Street Apt. 116
Carrollport, SD 85694",SD,85694,Carrollport,United States,Android 4.0.4,Other,mobile,Android,139.50.86.239,FALSE,1952120,passed,2021-03-23 15:08:00,2021-03-23,15,Tue,23,Mar,2021,afternoon,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jason,Stevens,44,"442 Stuart Plain
Lauriefort, GA 74255",GA,74255,Lauriefort,United States,Mozilla/5.0 (Windows NT 4.0; he-IL; rv:1.9.0.20) Gecko/2014-06-21 21:34:59 Firefox/3.8,Internet Explorer,desktop,Windows,78.231.167.126,Image Quality,1745571,passed,2021-05-06 00:47:00,2021-05-06,0,Thu,6,May,2021,night,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Gary,Crane,41,"17759 Michael Plain Suite 872
Terrifort, CO 59186",CO,59186,Terrifort,Israel,Android 5.1,Other,mobile,Android,91.253.199.33,FALSE,8780579,failed,2021-05-08 15:58:00,2021-05-08,15,Sat,8,May,2021,afternoon,passed,failed,not_applicable,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Larry,Johnson,68,"054 Watts Cliffs Apt. 062
Brianview, SD 41459",SD,41459,Brianview,United States,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.0 (KHTML, like Gecko) Chrome/18.0.880.0 Safari/534.0",Chrome,desktop,Windows,172.217.18.98,FALSE,7566078,failed,2021-05-04 22:13:00,2021-05-04,22,Tue,4,May,2021,late evening,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kenneth,Acosta,78,"248 Eric Cliffs Suite 890
South Joseph, WA 40667",WA,40667,South Joseph,United States,Android 1.5,Other,mobile,Android,49.204.46.77,Image Quality,7757957,passed,2021-04-05 05:15:00,2021-04-05,5,Mon,5,Apr,2021,night,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Amber,Taylor,45,"0970 Owens Motorway
Port Michelle, NE 16576",NE,16576,Port Michelle,United States,Opera/8.39.(X11; Linux x86_64; ti-ER) Presto/2.9.190 Version/10.00,Opera,desktop,Linux,45.46.254.138,TRUE,1784843,failed,2021-02-28 04:13:00,2021-02-28,4,Sun,28,Feb,2021,night,passed,failed,not_applicable,not_applicable,failed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Henry,Hernandez,75,"5648 Garcia Plains Apt. 828
South Jameshaven, MA 43414",MA,43414,South Jameshaven,United States,iPhone; CPU iPhone OS 9_3_6 like Mac OS X,Other,mobile,Mac,30.122.96.190,FALSE,4568401,passed,2021-01-04 03:36:00,2021-01-04,3,Mon,4,Jan,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Michael,Baker,63,"78229 Sutton Roads Suite 215
Alvaradoberg, MN 39934",MN,39934,Alvaradoberg,United States,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,Other,mobile,Mac,183.95.244.249,FALSE,2951766,failed,2021-04-30 21:59:00,2021-04-30,21,Fri,30,Apr,2021,late evening,passed,passed,passed,not_applicable,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jimmy,Taylor,57,"4801 Blair Fields Apt. 931
West Kenneth, HI 55550",HI,55550,West Kenneth,United States,Android 2.0.1,Other,mobile,Android,104.250.131.1,FALSE,5818850,passed,2021-04-30 20:12:00,2021-04-30,20,Fri,30,Apr,2021,late evening,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Brandon,Carpenter,26,"USNV Carter
FPO AP 95615",AP,95615,military,United States,iPhone; CPU iPhone OS 3_1_3 like Mac OS X,Other,mobile,Mac,107.250.84.165,FALSE,2141839,passed,2021-03-08 19:37:00,2021-03-08,19,Mon,8,Mar,2021,evening,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Janice,Glover,41,"Unit 5785 Box 0973
DPO AP 79451",AP,79451,military,United States,Android 2.0,Other,mobile,Android,50.191.15.238,TRUE,4608746,failed,2021-01-22 21:05:00,2021-01-22,21,Fri,22,Jan,2021,late evening,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Matthew,Mclaughlin,42,"36200 Haynes Trail
Karinashire, MA 99729",MA,99729,Karinashire,Lebanon,Opera/9.23.(X11; Linux i686; et-EE) Presto/2.9.169 Version/10.00,Opera,desktop,Linux,10.248.37.84,Image Quality,8821650,passed,2021-02-02 00:06:00,2021-02-02,0,Tue,2,Feb,2021,night,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Cassandra,Nguyen,32,"PSC 5008, Box 7546
APO AE 01545",AE,01545,military,United States,Opera/9.28.(X11; Linux x86_64; se-NO) Presto/2.9.179 Version/10.00,Opera,desktop,Linux,49.137.181.166,Image Quality,4721169,passed,2021-04-20 00:35:00,2021-04-20,0,Tue,20,Apr,2021,night,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Samantha,Sanchez,83,"774 Lawrence Meadows
New Kathleenburgh, VT 45806",VT,45806,New Kathleenburgh,United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows CE; Trident/3.1),Internet Explorer,desktop,Windows,94.146.116.182,FALSE,4604879,passed,2021-03-29 21:17:00,2021-03-29,21,Mon,29,Mar,2021,late evening,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Daniel,Rogers,64,"626 Anne Inlet Apt. 252
Diazside, AR 69417",AR,69417,Diazside,United States,Android 11,Other,mobile,Android,23.212.125.36,FALSE,4780911,passed,2021-04-18 11:35:00,2021-04-18,11,Sun,18,Apr,2021,late morning,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Bianca,Johnson,74,"47016 Werner Burgs Apt. 498
Christieside, GA 68691",GA,68691,Christieside,United States,iPhone; CPU iPhone OS 14_2 like Mac OS X,Other,mobile,Mac,15.49.201.8,Image Quality,2611101,failed,2021-02-27 01:38:00,2021-02-27,1,Sat,27,Feb,2021,night,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Robert,Gates,18,"USS Sanchez
FPO AE 35509",AE,35509,military,Oman,Android 4.4,Other,mobile,Android,130.44.162.149,FALSE,6918216,failed,2021-05-05 19:59:00,2021-05-05,19,Wed,5,May,2021,evening,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Larry,Walsh,55,"973 Stephanie Alley Suite 122
Madelineburgh, ND 45163",ND,45163,Madelineburgh,United States,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Win 9x 4.90; Trident/4.0),Internet Explorer,desktop,Windows,32.189.99.216,Image Quality,4200873,passed,2021-01-01 19:57:00,2021-01-01,19,Fri,1,Jan,2021,evening,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Deborah,Garcia,53,"60666 Michael Plains
Daviesstad, MO 54334",MO,54334,Daviesstad,Ireland,Android 4.1,Other,mobile,Android,193.224.189.224,FALSE,1035940,failed,2021-03-20 16:14:00,2021-03-20,16,Sat,20,Mar,2021,afternoon,passed,passed,passed,failed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Leah,Moore,72,"9141 Gardner Turnpike
East Heather, MO 02772",MO,02772,East Heather,United States,Opera/8.88.(Windows 98; lt-LT) Presto/2.9.179 Version/10.00,Opera,desktop,Windows,1.3.244.214,FALSE,4569785,failed,2021-05-08 23:40:00,2021-05-08,23,Sat,8,May,2021,night,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,failed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Michael,Mcintosh,59,"27561 Mcguire Roads Apt. 029
Danielleshire, AL 51467",AL,51467,Danielleshire,United States,Android 2.1,Other,mobile,Android,212.201.135.88,FALSE,5929153,passed,2021-04-01 18:44:00,2021-04-01,18,Thu,1,Apr,2021,evening,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Edward,Herman,28,"98568 Clark Summit Suite 592
Goldenfurt, OK 55614",OK,55614,Goldenfurt,United States,iPad; CPU iPad OS 9_3_5 like Mac OS X,Other,mobile,Mac,162.173.129.183,Image Quality,3833669,failed,2021-05-03 15:00:00,2021-05-03,15,Mon,3,May,2021,afternoon,passed,failed,not_applicable,passed,passed,passed,not_applicable,failed,passed,passed,passed,passed,not_applicable,passed,passed
Dean,Cunningham,38,"14399 Price Ridges
South James, ME 35771",ME,35771,South James,United States,iPhone; CPU iPhone OS 10_3_3 like Mac OS X,Other,mobile,Mac,88.142.61.49,Image Quality,4101306,failed,2021-05-02 03:03:00,2021-05-02,3,Sun,2,May,2021,night,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Dr.,Jason,74,"85333 Melissa Loop
East Jacob, AL 97759",AL,97759,East Jacob,United States,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.2; Trident/4.0),Internet Explorer,desktop,Windows,162.67.210.132,FALSE,1240751,failed,2021-03-04 13:47:00,2021-03-04,13,Thu,4,Mar,2021,early afternoon,passed,passed,passed,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Edward,Tran,85,"1950 Kim Heights Apt. 113
West Angela, RI 54775",RI,54775,West Angela,United States,Android 5.1.1,Other,mobile,Android,223.56.244.251,TRUE,5636661,failed,2021-05-05 04:49:00,2021-05-05,4,Wed,5,May,2021,night,not_applicable,failed,not_applicable,failed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Christina,Johnson,16,"34421 Melissa Station Suite 569
North Jamiestad, MI 94320",MI,94320,North Jamiestad,United States,iPhone; CPU iPhone OS 12_4_8 like Mac OS X,Other,mobile,Mac,171.6.171.225,TRUE,2043170,failed,2021-02-17 15:05:00,2021-02-17,15,Wed,17,Feb,2021,afternoon,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Lance,Burgess,85,"830 Gomez Pines
New Jamesville, MS 29764",MS,29764,New Jamesville,United States,Android 2.1,Other,mobile,Android,162.160.250.185,FALSE,5026146,passed,2021-01-14 22:35:00,2021-01-14,22,Thu,14,Jan,2021,late evening,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Lindsey,Fowler,24,"56709 Fisher Mountains Suite 795
West Nancyside, WA 34837",WA,34837,West Nancyside,Belgium,Android 7.1.1,Other,mobile,Android,3.12.147.120,FALSE,3014040,passed,2021-05-01 19:05:00,2021-05-01,19,Sat,1,May,2021,evening,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Haley,Orozco,19,"34842 Simmons Dam
Johntown, NM 02333",NM,02333,Johntown,United States,iPhone; CPU iPhone OS 6_1_6 like Mac OS X,Other,mobile,Mac,21.49.149.134,FALSE,4129864,passed,2021-05-04 03:21:00,2021-05-04,3,Tue,4,May,2021,night,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Joshua,Morgan,30,"738 Nichols Walk
Shirleyborough, NE 87336",NE,87336,Shirleyborough,United States,Android 2.2.1,Other,mobile,Android,9.175.17.177,FALSE,5896205,failed,2021-01-14 00:39:00,2021-01-14,0,Thu,14,Jan,2021,night,passed,passed,passed,failed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Denise,Perry,85,"9234 Jacob Rapid Suite 637
Lake Aaronside, HI 37922",HI,37922,Lake Aaronside,United States,"Mozilla/5.0 (Windows; U; Windows 98; Win 9x 4.90) AppleWebKit/534.26.5 (KHTML, like Gecko) Version/4.0.2 Safari/534.26.5",Safari,desktop,Windows,148.209.132.59,FALSE,4845619,failed,2021-03-31 03:15:00,2021-03-31,3,Wed,31,Mar,2021,night,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Margaret,Barker,74,"89500 Dana Park Suite 759
South Billyfort, NC 77254",NC,77254,South Billyfort,United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows NT 4.0; Trident/4.0),Internet Explorer,desktop,Windows,145.179.131.91,Image Quality,3129043,failed,2021-05-10 15:33:00,2021-05-10,15,Mon,10,May,2021,afternoon,passed,passed,passed,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Timothy,Meyer,61,"49244 Sutton Place Apt. 832
Port Phillipbury, AR 53960",AR,53960,Port Phillipbury,United States,Android 2.3.3,Other,mobile,Android,190.82.138.169,Image Quality,2515611,failed,2021-03-22 00:35:00,2021-03-22,0,Mon,22,Mar,2021,night,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Becky,Ortiz,35,"USNS Clarke
FPO AP 94863",AP,94863,military,United States,Android 2.2,Other,mobile,Android,98.35.174.60,FALSE,8559192,failed,2021-04-27 13:40:00,2021-04-27,13,Tue,27,Apr,2021,early afternoon,not_applicable,failed,not_applicable,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Linda,Davis,40,"768 Hall Pass
Davenportbury, NE 61527",NE,61527,Davenportbury,United States,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,Other,mobile,Mac,125.195.63.65,FALSE,1244496,passed,2021-01-26 15:02:00,2021-01-26,15,Tue,26,Jan,2021,afternoon,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Brian,Morales,75,"011 Deborah Circle Apt. 618
Donaldfurt, GA 47104",GA,47104,Donaldfurt,Kuwait,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 5.01; Trident/4.1),Internet Explorer,desktop,Windows,198.148.54.214,FALSE,3663980,passed,2021-03-22 18:12:00,2021-03-22,18,Mon,22,Mar,2021,evening,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Emily,Gilbert,22,"906 Taylor Springs
Port Angelaport, NE 99915",NE,99915,Port Angelaport,United States,Opera/9.77.(X11; Linux i686; csb-PL) Presto/2.9.180 Version/10.00,Opera,desktop,Linux,125.108.249.123,Image Quality,6347780,passed,2021-03-08 22:17:00,2021-03-08,22,Mon,8,Mar,2021,late evening,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Larry,James,84,"0175 Eric Islands
East Ronald, TX 74957",TX,74957,East Ronald,United States,iPhone; CPU iPhone OS 7_1_2 like Mac OS X,Other,mobile,Mac,207.72.94.52,FALSE,5891725,failed,2021-02-16 05:42:00,2021-02-16,5,Tue,16,Feb,2021,night,not_applicable,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jessica,Thompson,57,"PSC 2423, Box 0406
APO AA 99804",AA,99804,military,United States,Android 4.0.2,Other,mobile,Android,19.252.135.108,FALSE,5951704,passed,2021-04-17 00:22:00,2021-04-17,0,Sat,17,Apr,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,passed,not_applicable,passed,passed
Kathleen,Williams,47,"2619 Derek Walks Apt. 157
Williammouth, MD 41988",MD,41988,Williammouth,United States,Android 7.1,Other,mobile,Android,19.47.60.225,TRUE,3464848,failed,2021-05-16 07:48:00,2021-05-16,7,Sun,16,May,2021,early morning,passed,failed,not_applicable,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jesse,Horn,37,"8311 Wallace Green
North Kevinstad, CT 75956",CT,75956,North Kevinstad,United States,Opera/8.20.(X11; Linux x86_64; km-KH) Presto/2.9.162 Version/10.00,Opera,desktop,Linux,33.7.192.85,FALSE,3800823,passed,2021-03-03 19:26:00,2021-03-03,19,Wed,3,Mar,2021,evening,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Kaylee,Brennan,46,"779 Shannon Locks Apt. 446
West Sarah, WY 81606",WY,81606,West Sarah,United States,Mozilla/5.0 (compatible; MSIE 8.0; Windows 95; Trident/3.0),Internet Explorer,desktop,Windows,44.218.183.175,FALSE,4439242,passed,2020-12-30 19:16:00,2020-12-30,19,Wed,30,Dec,2020,evening,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Savannah,Hughes,69,"66312 William Run Apt. 302
Lake Wandashire, MO 51175",MO,51175,Lake Wandashire,United States,Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/3.1),Internet Explorer,desktop,Windows,2.91.160.53,FALSE,4699031,passed,2021-04-02 15:38:00,2021-04-02,15,Fri,2,Apr,2021,afternoon,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Mark,Long,83,"319 Jennifer Oval Apt. 600
Lake Natasha, VA 56009",VA,56009,Lake Natasha,United States,Opera/8.90.(X11; Linux i686; mk-MK) Presto/2.9.187 Version/11.00,Opera,desktop,Linux,171.52.91.40,FALSE,7630331,passed,2021-05-14 23:14:00,2021-05-14,23,Fri,14,May,2021,night,passed,passed,passed,passed,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Jessica,Rodriguez,48,"73133 Cox Wall Suite 137
South Josephton, WI 82330",WI,82330,South Josephton,United States,Opera/9.17.(X11; Linux x86_64; ps-AF) Presto/2.9.174 Version/10.00,Opera,desktop,Linux,63.125.151.217,FALSE,6440330,failed,2021-04-28 16:34:00,2021-04-28,16,Wed,28,Apr,2021,afternoon,passed,passed,passed,passed,failed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
Cynthia,Thornton,61,"7854 Kelly Trace Suite 629
Port Bradley, CT 00771",CT,00771,Port Bradley,United States,Android 7.1,Other,mobile,Android,67.85.116.42,Image Quality,2492011,passed,2021-01-02 01:19:00,2021-01-02,1,Sat,2,Jan,2021,night,passed,passed,passed,not_applicable,passed,passed,not_applicable,passed,passed,passed,passed,not_applicable,not_applicable,passed,passed
